District,Type,2005,2015,2038,2050
117,Rural,0,0,0,0
117,Town,0,0,0,0
118,Metropolitan,150.8268321,150.8268321,150.8268321,150.8268321
118,Rural,0,0,0,0
118,Town,0,0,0,0
119,Metropolitan,321.2470933,321.2470933,321.2470933,321.2470933
119,Rural,0,0,0,0
119,Town,0,0,0,0
120,Metropolitan,316.8590068,316.8590068,316.8590068,316.8590068
120,Rural,0,0,0,0
120,Town,0,0,0,0
121,Metropolitan,653.3632714,653.3632714,653.3632714,653.3632714
121,Rural,0,0,0,0
121,Town,0,0,0,0
122,Metropolitan,399.6518442,399.6518442,399.6518442,399.6518442
122,Rural,0,0,0,0
122,Town,0,0,0,0
123,Metropolitan,358.3306318,358.3306318,358.3306318,358.3306318
123,Rural,0,0,0,0
123,Town,0,0,0,0
124,Metropolitan,801.0377152,801.0377152,801.0377152,801.0377152
124,Rural,0,0,0,0
124,Town,0,0,0,0
125,Metropolitan,205.7006866,205.7006866,205.7006866,205.7006866
125,Rural,0,0,0,0
125,Town,0,0,0,0
126,Metropolitan,206.3063412,206.3063412,206.3063412,206.3063412
126,Rural,0,0,0,0
126,Town,0,0,0,0
127,Metropolitan,204.6957742,204.6957742,204.6957742,204.6957742
127,Rural,0,0,0,0
127,Town,0,0,0,0
128,Metropolitan,164.3117029,164.3117029,164.3117029,164.3117029
128,Rural,0,0,0,0
128,Town,0,0,0,0
129,Metropolitan,39.30578648,39.30578648,39.30578648,39.30578648
129,Rural,0,0,0,0
129,Town,0,0,0,0
130,Metropolitan,373.2088279,373.2088279,373.2088279,373.2088279
130,Rural,0,0,0,0
130,Town,0,0,0,0
131,Metropolitan,175.8679423,175.8679423,175.8679423,175.8679423
131,Rural,0,0,0,0
131,Town,0,0,0,0
132,Metropolitan,160.2743648,160.2743648,160.2743648,160.2743648
132,Rural,0,0,0,0
132,Town,0,0,0,0
133,Metropolitan,60.33800525,60.33800525,60.33800525,60.33800525
133,Rural,0,0,0,0
133,Town,0,0,0,0
134,Metropolitan,16.73055125,16.73055125,16.73055125,16.73055125
134,Rural,0,0,0,0
134,Town,0,0,0,0
135,Metropolitan,447.9780032,447.9780032,447.9780032,447.9780032
135,Rural,0,0,0,0
135,Town,0,0,0,0
136,Metropolitan,164.4402274,164.4402274,164.4402274,164.4402274
136,Rural,0,0,0,0
136,Town,0,0,0,0
137,Metropolitan,598.6996233,598.6996233,598.6996233,598.6996233
137,Rural,0,0,0,0
137,Town,0,0,0,0
138,Metropolitan,416.6828353,416.6828353,416.6828353,416.6828353
138,Rural,0,0,0,0
138,Town,0,0,0,0
139,Metropolitan,437.7334193,437.7334193,437.7334193,437.7334193
139,Rural,0,0,0,0
139,Town,0,0,0,0
140,Metropolitan,107.2681612,107.2681612,107.2681612,107.2681612
140,Rural,0,0,0,0
140,Town,0,0,0,0
141,Metropolitan,508.9088493,508.9088493,508.9088493,508.9088493
141,Rural,0,0,0,0
141,Town,0,0,0,0
142,Metropolitan,476.8852402,476.8852402,476.8852402,476.8852402
142,Rural,0,0,0,0
142,Town,0,0,0,0
143,Metropolitan,310.3605017,310.3605017,310.3605017,310.3605017
143,Rural,0,0,0,0
143,Town,0,0,0,0
144,Metropolitan,41.58600118,41.58600118,41.58600118,41.58600118
144,Rural,0,0,0,0
144,Town,0,0,0,0
145,Metropolitan,419.9438536,419.9438536,419.9438536,419.9438536
145,Rural,0,0,0,0
145,Town,0,0,0,0
146,Metropolitan,642.4300607,642.4300607,642.4300607,642.4300607
146,Rural,0,0,0,0
146,Town,0,0,0,0
147,Metropolitan,645.702641,645.702641,645.702641,645.702641
147,Rural,0,0,0,0
147,Town,0,0,0,0
148,Metropolitan,819.0810409,819.0810409,819.0810409,819.0810409
148,Rural,0,0,0,0
148,Town,0,0,0,0
149,Metropolitan,460.3336409,460.3336409,460.3336409,460.3336409
149,Rural,0,0,0,0
149,Town,0,0,0,0
150,Metropolitan,1360.00355,1360.00355,1360.00355,1360.00355
150,Rural,0,0,0,0
150,Town,0,0,0,0
151,Metropolitan,44.96359687,44.96359687,44.96359687,44.96359687
151,Rural,0,0,0,0
151,Town,0,0,0,0
152,Metropolitan,886.1853062,886.1853062,886.1853062,886.1853062
152,Rural,0,0,0,0
152,Town,0,0,0,0
153,Metropolitan,193.598524,193.598524,193.598524,193.598524
153,Rural,0,0,0,0
153,Town,0,0,0,0
154,Metropolitan,538.0045516,538.0045516,538.0045516,538.0045516
154,Rural,0,0,0,0
154,Town,0,0,0,0
155,Metropolitan,464.9806588,464.9806588,464.9806588,464.9806588
155,Rural,0,0,0,0
155,Town,0,0,0,0
156,Metropolitan,580.2988311,580.2988311,580.2988311,580.2988311
156,Rural,0,0,0,0
156,Town,0,0,0,0
157,Metropolitan,134.4956232,134.4956232,134.4956232,134.4956232
157,Rural,0,0,0,0
157,Town,0,0,0,0
158,Metropolitan,100.6429813,100.6429813,100.6429813,100.6429813
158,Rural,0,0,0,0
158,Town,0,0,0,0
159,Metropolitan,548.9985346,548.9985346,548.9985346,548.9985346
159,Rural,0,0,0,0
159,Town,0,0,0,0
160,Metropolitan,138.4297971,138.4297971,138.4297971,138.4297971
160,Rural,0,0,0,0
160,Town,0,0,0,0
161,Metropolitan,185.3201112,185.3201112,185.3201112,185.3201112
161,Rural,0,0,0,0
161,Town,0,0,0,0
162,Metropolitan,91.47217925,91.47217925,91.47217925,91.47217925
162,Rural,0,0,0,0
162,Town,0,0,0,0
163,Metropolitan,175.5306529,175.5306529,175.5306529,175.5306529
163,Rural,0,0,0,0
163,Town,0,0,0,0
164,Metropolitan,88.20802628,88.20802628,88.20802628,88.20802628
164,Rural,0,0,0,0
164,Town,0,0,0,0
165,Metropolitan,231.9032024,231.9032024,231.9032024,231.9032024
165,Rural,0,0,0,0
165,Town,0,0,0,0
166,Metropolitan,209.2242916,209.2242916,209.2242916,209.2242916
166,Rural,0,0,0,0
166,Town,0,0,0,0
167,Metropolitan,152.8394534,152.8394534,152.8394534,152.8394534
167,Rural,0,0,0,0
167,Town,0,0,0,0
168,Metropolitan,669.8932164,669.8932164,669.8932164,669.8932164
168,Rural,0,0,0,0
168,Town,0,0,0,0
169,Metropolitan,1078.396772,1078.396772,1078.396772,1078.396772
169,Rural,0,0,0,0
169,Town,0,0,0,0
170,Metropolitan,1212.151019,1212.151019,1212.151019,1212.151019
170,Rural,0,0,0,0
170,Town,0,0,0,0
171,Metropolitan,900.4847121,900.4847121,900.4847121,900.4847121
171,Rural,0,0,0,0
171,Town,0,0,0,0
172,Metropolitan,109.4568597,109.4568597,109.4568597,109.4568597
172,Rural,0,0,0,0
172,Town,0,0,0,0
173,Metropolitan,815.6858667,815.6858667,815.6858667,815.6858667
173,Rural,0,0,0,0
173,Town,0,0,0,0
174,Metropolitan,913.8499893,913.8499893,913.8499893,913.8499893
174,Rural,0,0,0,0
174,Town,0,0,0,0
175,Metropolitan,363.2974325,363.2974325,363.2974325,363.2974325
175,Rural,0,0,0,0
175,Town,0,0,0,0
176,Metropolitan,1015.196791,1015.196791,1015.196791,1015.196791
176,Rural,0,0,0,0
176,Town,0,0,0,0
177,Metropolitan,1741.201061,1741.201061,1741.201061,1741.201061
177,Rural,0,0,0,0
177,Town,0,0,0,0
178,Metropolitan,454.8661353,454.8661353,454.8661353,454.8661353
178,Rural,0,0,0,0
178,Town,0,0,0,0
179,Metropolitan,118.2866348,118.2866348,118.2866348,118.2866348
179,Rural,0,0,0,0
179,Town,0,0,0,0
180,Metropolitan,633.2806774,633.2806774,633.2806774,633.2806774
180,Rural,0,0,0,0
180,Town,0,0,0,0
181,Metropolitan,701.6546632,701.6546632,701.6546632,701.6546632
181,Rural,0,0,0,0
181,Town,0,0,0,0
182,Metropolitan,458.1068588,458.1068588,458.1068588,458.1068588
182,Rural,0,0,0,0
182,Town,0,0,0,0
183,Metropolitan,634.0343463,634.0343463,634.0343463,634.0343463
183,Rural,0,0,0,0
183,Town,0,0,0,0
184,Metropolitan,428.9202976,428.9202976,428.9202976,428.9202976
184,Rural,0,0,0,0
184,Town,0,0,0,0
185,Metropolitan,875.0235975,875.0235975,875.0235975,875.0235975
185,Rural,0,0,0,0
185,Town,0,0,0,0
186,Metropolitan,501.0995181,501.0995181,501.0995181,501.0995181
186,Rural,0,0,0,0
186,Town,0,0,0,0
187,Metropolitan,127.4534692,127.4534692,127.4534692,127.4534692
187,Rural,0,0,0,0
187,Town,0,0,0,0
188,Metropolitan,337.1481326,337.1481326,337.1481326,337.1481326
188,Rural,0,0,0,0
188,Town,0,0,0,0
189,Metropolitan,283.1682215,283.1682215,283.1682215,283.1682215
189,Rural,0,0,0,0
189,Town,0,0,0,0
190,Metropolitan,1355.791637,1355.791637,1355.791637,1355.791637
190,Rural,0,0,0,0
190,Town,0,0,0,0
191,Metropolitan,520.9945119,520.9945119,520.9945119,520.9945119
191,Rural,0,0,0,0
191,Town,0,0,0,0
192,Metropolitan,546.3712485,546.3712485,546.3712485,546.3712485
192,Rural,0,0,0,0
192,Town,0,0,0,0
193,Metropolitan,645.6054566,645.6054566,645.6054566,645.6054566
193,Rural,0,0,0,0
193,Town,0,0,0,0
194,Metropolitan,268.0244594,268.0244594,268.0244594,268.0244594
194,Rural,0,0,0,0
194,Town,0,0,0,0
195,Metropolitan,270.2955187,270.2955187,270.2955187,270.2955187
195,Rural,0,0,0,0
195,Town,0,0,0,0
196,Metropolitan,262.4330892,262.4330892,262.4330892,262.4330892
196,Rural,0,0,0,0
196,Town,0,0,0,0
197,Metropolitan,1556.876585,1556.876585,1556.876585,1556.876585
197,Rural,0,0,0,0
197,Town,0,0,0,0
198,Metropolitan,964.384281,964.384281,964.384281,964.384281
198,Rural,0,0,0,0
198,Town,0,0,0,0
199,Metropolitan,337.5540242,337.5540242,337.5540242,337.5540242
199,Rural,0,0,0,0
199,Town,0,0,0,0
200,Metropolitan,166.4793072,166.4793072,166.4793072,166.4793072
200,Rural,0,0,0,0
200,Town,0,0,0,0
201,Metropolitan,184.9003236,184.9003236,184.9003236,184.9003236
201,Rural,0,0,0,0
201,Town,0,0,0,0
202,Metropolitan,135.4061127,135.4061127,135.4061127,135.4061127
202,Rural,0,0,0,0
202,Town,0,0,0,0
203,Metropolitan,30.79834916,30.79834916,30.79834916,30.79834916
203,Rural,0,0,0,0
203,Town,0,0,0,0
204,Metropolitan,119.4186125,119.4186125,119.4186125,119.4186125
204,Rural,0,0,0,0
204,Town,0,0,0,0
205,Metropolitan,55.74078605,55.74078605,55.74078605,55.74078605
205,Rural,0,0,0,0
205,Town,0,0,0,0
206,Metropolitan,371.1469124,371.1469124,371.1469124,371.1469124
206,Rural,0,0,0,0
206,Town,0,0,0,0
207,Metropolitan,106.7181045,106.7181045,106.7181045,106.7181045
207,Rural,0,0,0,0
207,Town,0,0,0,0
208,Metropolitan,81.10588328,81.10588328,81.10588328,81.10588328
208,Rural,0,0,0,0
208,Town,0,0,0,0
209,Metropolitan,32.74170377,32.74170377,32.74170377,32.74170377
209,Rural,0,0,0,0
209,Town,0,0,0,0
210,Metropolitan,95.70689572,95.70689572,95.70689572,95.70689572
210,Rural,0,0,0,0
210,Town,0,0,0,0
211,Metropolitan,118.5549955,118.5549955,118.5549955,118.5549955
211,Rural,0,0,0,0
211,Town,0,0,0,0
212,Metropolitan,150.2691183,150.2691183,150.2691183,150.2691183
212,Rural,0,0,0,0
212,Town,0,0,0,0
213,Metropolitan,100.0691303,100.0691303,100.0691303,100.0691303
213,Rural,0,0,0,0
213,Town,0,0,0,0
214,Metropolitan,222.4512448,222.4512448,222.4512448,222.4512448
214,Rural,0,0,0,0
214,Town,0,0,0,0
215,Metropolitan,629.4705254,629.4705254,629.4705254,629.4705254
215,Rural,0,0,0,0
215,Town,0,0,0,0
216,Metropolitan,534.2760727,534.2760727,534.2760727,534.2760727
216,Rural,0,0,0,0
216,Town,0,0,0,0
217,Metropolitan,312.8048337,312.8048337,312.8048337,312.8048337
217,Rural,0,0,0,0
217,Town,0,0,0,0
218,Metropolitan,51.64729299,51.64729299,51.64729299,51.64729299
218,Rural,0,0,0,0
218,Town,0,0,0,0
219,Metropolitan,847.4561966,847.4561966,847.4561966,847.4561966
219,Rural,0,0,0,0
219,Town,0,0,0,0
220,Metropolitan,447.1358029,447.1358029,447.1358029,447.1358029
220,Rural,0,0,0,0
220,Town,0,0,0,0
221,Metropolitan,263.2192037,263.2192037,263.2192037,263.2192037
221,Rural,0,0,0,0
221,Town,0,0,0,0
222,Metropolitan,78.8256001,78.8256001,78.8256001,78.8256001
222,Rural,0,0,0,0
222,Town,0,0,0,0
223,Metropolitan,412.1766424,412.1766424,412.1766424,412.1766424
223,Rural,0,0,0,0
223,Town,0,0,0,0
224,Metropolitan,222.5756968,222.5756968,222.5756968,222.5756968
224,Rural,0,0,0,0
224,Town,0,0,0,0
225,Metropolitan,200.3596336,200.3596336,200.3596336,200.3596336
225,Rural,0,0,0,0
225,Town,0,0,0,0
226,Metropolitan,10.86384475,10.86384475,10.86384475,10.86384475
226,Rural,0,0,0,0
226,Town,0,0,0,0
227,Metropolitan,16.02893627,16.02893627,16.02893627,16.02893627
227,Rural,0,0,0,0
227,Town,0,0,0,0
228,Metropolitan,718.8237065,718.8237065,718.8237065,718.8237065
228,Rural,0,0,0,0
228,Town,0,0,0,0
229,Metropolitan,65.54996588,65.54996588,65.54996588,65.54996588
229,Rural,0,0,0,0
229,Town,0,0,0,0
230,Metropolitan,55.95832084,55.95832084,55.95832084,55.95832084
230,Rural,0,0,0,0
230,Town,0,0,0,0
231,Metropolitan,99.27310667,99.27310667,99.27310667,99.27310667
231,Rural,0,0,0,0
231,Town,0,0,0,0
232,Metropolitan,18.94938935,18.94938935,18.94938935,18.94938935
232,Rural,0,0,0,0
232,Town,0,0,0,0
233,Metropolitan,28.14841973,28.14841973,28.14841973,28.14841973
233,Rural,0,0,0,0
