Value,Area,2005,2015,2038,2050,CostDataYear
PropOthChrgd,D31,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D32,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D33,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D34,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D35,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D36,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D4,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D41,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D43,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D44,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D45,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D46,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D47,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D48,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D49,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D5,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D51,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D52,0.074699283,0.002838573,0.002838573,0.149398566,2015
