District,OwnRatio-2005,OwnRatio-2015,OwnRatio-2038,OwnRatio-2050,Threshold-2005,Threshold-2015,Threshold-2038,Threshold-2050,PropSuitable-2005,PropSuitable-2015,PropSuitable-2038,PropSuitable-2050
338,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
339,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
340,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
341,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
342,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
343,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
344,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
345,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
346,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
347,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
348,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
349,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
350,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
351,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
352,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
353,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
354,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
355,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
356,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
357,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
358,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
359,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
360,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
361,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
362,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
363,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
364,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
365,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
366,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
367,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
368,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
