District,Type,A24,A5P,MH,SFA,SFD,GQ
91,Metropolitan,2,189,0,106,665,0
91,Rural,0,0,0,0,0,0
91,Town,0,0,0,0,0,0
92,Metropolitan,0,134,0,74,796,0
92,Rural,0,0,0,0,0,0
92,Town,0,0,0,0,0,0
93,Metropolitan,0,106,0,86,1098,0
93,Rural,0,0,0,0,0,0
93,Town,0,0,0,0,0,0
94,Metropolitan,3,294,3,210,1840,0
94,Rural,0,0,0,0,0,0
94,Town,0,0,0,0,0,0
95,Metropolitan,0,113,0,43,361,0
95,Rural,0,0,0,0,0,0
95,Town,0,0,0,0,0,0
96,Metropolitan,0,0,0,0,10,0
96,Rural,0,0,0,0,0,0
96,Town,0,0,0,0,0,0
97,Metropolitan,2,114,0,94,946,0
97,Rural,0,0,0,0,0,0
97,Town,0,0,0,0,0,0
98,Metropolitan,0,92,0,42,627,0
98,Rural,0,0,0,0,0,0
98,Town,0,0,0,0,0,0
99,Metropolitan,0,0,0,0,0,0
99,Rural,0,12,0,4,63,0
99,Town,0,0,0,0,0,0
100,Metropolitan,2,113,3,75,785,0
100,Rural,0,0,0,0,0,0
100,Town,0,0,0,0,0,0
101,Metropolitan,2,168,0,112,1194,0
101,Rural,0,0,0,0,0,0
101,Town,0,0,0,0,0,0
102,Metropolitan,1,73,0,18,128,0
102,Rural,0,0,0,0,0,0
102,Town,0,0,0,0,0,0
103,Metropolitan,2,255,3,166,881,0
103,Rural,0,0,0,0,0,0
103,Town,0,0,0,0,0,0
104,Metropolitan,2,201,2,127,1000,0
104,Rural,0,0,0,0,0,0
104,Town,0,0,0,0,0,0
105,Metropolitan,0,101,0,43,440,0
105,Rural,0,0,0,0,0,0
105,Town,0,0,0,0,0,0
106,Metropolitan,2,111,1,59,766,0
106,Rural,0,0,0,0,0,0
106,Town,0,0,0,0,0,0
107,Metropolitan,1,202,2,143,1006,0
107,Rural,0,0,0,0,0,0
107,Town,0,0,0,0,0,0
108,Metropolitan,0,97,0,36,184,0
108,Rural,0,0,0,0,0,0
108,Town,0,0,0,0,0,0
109,Metropolitan,0,94,0,42,360,0
109,Rural,0,0,0,0,0,0
109,Town,0,0,0,0,0,0
110,Metropolitan,0,81,0,32,305,0
110,Rural,0,0,0,0,0,0
110,Town,0,0,0,0,0,0
111,Metropolitan,1,168,2,97,742,0
111,Rural,0,0,0,0,0,0
111,Town,0,0,0,0,0,0
112,Metropolitan,0,128,0,57,462,0
112,Rural,0,0,0,0,0,0
112,Town,0,0,0,0,0,0
113,Metropolitan,0,134,0,69,506,0
113,Rural,0,0,0,0,0,0
113,Town,0,0,0,0,0,0
114,Metropolitan,0,208,0,126,698,0
114,Rural,0,0,0,0,0,0
114,Town,0,0,0,0,0,0
115,Metropolitan,0,114,1,56,686,0
115,Rural,0,0,0,0,0,0
115,Town,0,0,0,0,0,0
116,Metropolitan,0,36,0,18,274,0
116,Rural,0,0,0,0,0,0
116,Town,0,0,0,0,0,0
117,Metropolitan,1,113,0,67,675,0
117,Rural,0,0,0,0,0,0
117,Town,0,0,0,0,0,0
118,Metropolitan,0,0,0,0,10,0
118,Rural,0,0,0,0,0,0
118,Town,0,0,0,0,0,0
119,Metropolitan,0,37,0,5,22,0
119,Rural,0,0,0,0,0,0
119,Town,0,0,0,0,0,0
120,Metropolitan,0,0,0,0,10,0
120,Rural,0,0,0,0,0,0
120,Town,0,0,0,0,0,0
121,Metropolitan,3,272,1,173,1100,0
121,Rural,0,0,0,0,0,0
121,Town,0,0,0,0,0,0
122,Metropolitan,0,60,0,22,235,0
122,Rural,0,0,0,0,0,0
122,Town,0,0,0,0,0,0
